GARD_ID	GARD_link	cond_name
10047	https://rarediseases.info.nih.gov/diseases/10047/glutathione-synthetase-deficiency	Glutathione synthetase deficiency
10130	https://rarediseases.info.nih.gov/diseases/10130/22q133-deletion-syndrome	22q13.3 deletion syndrome
102	https://rarediseases.info.nih.gov/diseases/102/neu-laxova-syndrome	Neu Laxova syndrome
10202	https://rarediseases.info.nih.gov/diseases/10202/2q37-deletion-syndrome	2q37 deletion syndrome
10296	https://rarediseases.info.nih.gov/diseases/10296/15q133-microdeletion-syndrome	15q13.3 microdeletion syndrome
10299	https://rarediseases.info.nih.gov/diseases/10299/22q112-deletion-syndrome	22q11.2 deletion syndrome
10304	https://rarediseases.info.nih.gov/diseases/10304/8p231-duplication-syndrome	8p23.1 duplication syndrome
10321	https://rarediseases.info.nih.gov/diseases/10321/3-methylglutaconyl-coa-hydratase-deficiency-auh-defect	3-methylglutaconyl-CoA hydratase deficiency (AUH defect)
10322	https://rarediseases.info.nih.gov/diseases/10322/2-methylbutyryl-coa-dehydrogenase-deficiency	2-methylbutyryl-CoA dehydrogenase deficiency
10327	https://rarediseases.info.nih.gov/diseases/10327/24-dienoyl-coa-reductase-deficiency	2,4-Dienoyl-CoA reductase deficiency
10332	https://rarediseases.info.nih.gov/diseases/10332/tyrosinemia-type-3	Tyrosinemia type 3
10342	https://rarediseases.info.nih.gov/diseases/10342/not-otherwise-specified-3-mga-uria-type	Not otherwise specified 3-MGA-uria type
10525	https://rarediseases.info.nih.gov/diseases/10525/15q112-microdeletion	15q11.2 microdeletion
10557	https://rarediseases.info.nih.gov/diseases/10557/22q112-duplication-syndrome	22q11.2 duplication syndrome
10591	https://rarediseases.info.nih.gov/diseases/10591/chromosome-1q211-duplication-syndrome	Chromosome 1q21.1 duplication syndrome
10716	https://rarediseases.info.nih.gov/diseases/10716/2-methyl-3-hydroxybutyric-aciduria	2-methyl-3-hydroxybutyric aciduria
10717	https://rarediseases.info.nih.gov/diseases/10717/hydroxyprolinemia	Hydroxyprolinemia
10727	https://rarediseases.info.nih.gov/diseases/10727/koolen-de-vries-syndrome	Koolen de Vries syndrome
10740	https://rarediseases.info.nih.gov/diseases/10740/16p112-deletion-syndrome	16p11.2 deletion syndrome
10754	https://rarediseases.info.nih.gov/diseases/10754/chromosome-16p133-deletion-syndrome	Chromosome 16p13.3 deletion syndrome
10755	https://rarediseases.info.nih.gov/diseases/10755/chromosome-16p133-duplication	Chromosome 16p13.3 duplication
10761	https://rarediseases.info.nih.gov/diseases/10761/2-hydroxyglutaric-aciduria	2-Hydroxyglutaric aciduria
10813	https://rarediseases.info.nih.gov/diseases/10813/1q211-microdeletion-syndrome	1q21.1 microdeletion syndrome
10831	https://rarediseases.info.nih.gov/diseases/10831/1q-duplications	1q duplications
10832	https://rarediseases.info.nih.gov/diseases/10832/chromosome-1p-duplication	Chromosome 1p duplication
10833	https://rarediseases.info.nih.gov/diseases/10833/chromosome-19q-deletion	Chromosome 19q deletion
10834	https://rarediseases.info.nih.gov/diseases/10834/chromosome-19p-duplication	Chromosome 19p duplication
10835	https://rarediseases.info.nih.gov/diseases/10835/chromosome-19p-deletion	Chromosome 19p deletion
10836	https://rarediseases.info.nih.gov/diseases/10836/chromosome-2p-deletion	Chromosome 2p deletion
10838	https://rarediseases.info.nih.gov/diseases/10838/chromosome-3q-deletion	Chromosome 3q deletion
10840	https://rarediseases.info.nih.gov/diseases/10840/chromosome-5q-deletion	Chromosome 5q deletion
10842	https://rarediseases.info.nih.gov/diseases/10842/chromosome-5p-deletion	Chromosome 5p deletion
10843	https://rarediseases.info.nih.gov/diseases/10843/chromosome-6p-deletion	Chromosome 6p deletion
10844	https://rarediseases.info.nih.gov/diseases/10844/chromosome-9q-deletion	Chromosome 9q deletion
10845	https://rarediseases.info.nih.gov/diseases/10845/chromosome-11p-duplication	Chromosome 11p duplication
10847	https://rarediseases.info.nih.gov/diseases/10847/chromosome-12q-deletion	Chromosome 12q deletion
10853	https://rarediseases.info.nih.gov/diseases/10853/chromosome-16p-deletion	Chromosome 16p deletion
10854	https://rarediseases.info.nih.gov/diseases/10854/chromosome-16q-deletion	Chromosome 16q deletion
10856	https://rarediseases.info.nih.gov/diseases/10856/chromosome-20q-duplication	Chromosome 20q duplication
10857	https://rarediseases.info.nih.gov/diseases/10857/chromosome-20q-deletion	Chromosome 20q deletion
10858	https://rarediseases.info.nih.gov/diseases/10858/chromosome-21q-duplication	Chromosome 21q duplication
10860	https://rarediseases.info.nih.gov/diseases/10860/chromosome-21q-deletion	Chromosome 21q deletion
10922	https://rarediseases.info.nih.gov/diseases/10922/49-xxxyy-syndrome	49, XXXYY syndrome
10935	https://rarediseases.info.nih.gov/diseases/10935/16q243-microdeletion-syndrome	16q24.3 microdeletion syndrome
10936	https://rarediseases.info.nih.gov/diseases/10936/17q231q232-microdeletion-syndrome	17q23.1q23.2 microdeletion syndrome
10943	https://rarediseases.info.nih.gov/diseases/10943/1q44-microdeletion-syndrome	1q44 microdeletion syndrome
10954	https://rarediseases.info.nih.gov/diseases/10954/3-methylcrotonyl-coa-carboxylase-deficiency	3-methylcrotonyl-CoA carboxylase deficiency
10972	https://rarediseases.info.nih.gov/diseases/10972/chromosome-17q-deletion	Chromosome 17q deletion
10990	https://rarediseases.info.nih.gov/diseases/10990/chromosome-15q252-microdeletion	Chromosome 15q25.2 microdeletion
10991	https://rarediseases.info.nih.gov/diseases/10991/19p1312-microdeletion-syndrome	19p13.12 microdeletion syndrome
10996	https://rarediseases.info.nih.gov/diseases/10996/chromosome-17p131-deletion-syndrome	Chromosome 17p13.1 deletion syndrome
10998	https://rarediseases.info.nih.gov/diseases/10998/2q231-microdeletion-syndrome	2q23.1 microdeletion syndrome
