omim_id	gard_id	gard_number	mondo_link
OMIM:100820	GARD:0010036	10036	https://monarchinitiative.org/disease/MONDO:0007038
OMIM:101120	GARD:0000115	115	https://monarchinitiative.org/disease/MONDO:0007040
OMIM:102510	GARD:0000512	512	https://monarchinitiative.org/disease/MONDO:0007058
OMIM:108145	GARD:0004047	4047	https://monarchinitiative.org/disease/MONDO:0007158
OMIM:113700	GARD:0009489	9489	https://monarchinitiative.org/disease/MONDO:0007238
OMIM:113900	GARD:0001093	1093	https://monarchinitiative.org/disease/MONDO:0007240
OMIM:119580	GARD:0002071	2071	https://monarchinitiative.org/disease/MONDO:0007339
OMIM:130020	GARD:0002081	2081	https://monarchinitiative.org/disease/MONDO:0007523
OMIM:130060	GARD:0002084	2084	https://monarchinitiative.org/disease/MONDO:0007525
OMIM:132400	GARD:0002180	2180	https://monarchinitiative.org/disease/MONDO:0007561
OMIM:133190	GARD:0000059	59	https://monarchinitiative.org/disease/MONDO:0007574
OMIM:137600	GARD:0003026	3026	https://monarchinitiative.org/disease/MONDO:0007662
OMIM:141000	GARD:0000070	70	https://monarchinitiative.org/disease/MONDO:0007708
OMIM:141350	GARD:0002633	2633	https://monarchinitiative.org/disease/MONDO:0007711
OMIM:144200	GARD:0002826	2826	https://monarchinitiative.org/disease/MONDO:0007758
OMIM:146510	GARD:0007305	7305	https://monarchinitiative.org/disease/MONDO:0007804
OMIM:147060	GARD:0006800	6800	https://monarchinitiative.org/disease/MONDO:0007818
OMIM:149000	GARD:0003122	3122	https://monarchinitiative.org/disease/MONDO:0007864
OMIM:152950	GARD:0003622	3622	https://monarchinitiative.org/disease/MONDO:0007918
OMIM:153700	GARD:0000182	182	https://monarchinitiative.org/disease/MONDO:0007931
OMIM:153700	GARD:0010301	10301	https://monarchinitiative.org/disease/MONDO:0007931
OMIM:155145	GARD:0003439	3439	https://monarchinitiative.org/disease/MONDO:0007956
OMIM:156400	GARD:0000079	79	https://monarchinitiative.org/disease/MONDO:0007982
OMIM:159000	GARD:0010229	10229	https://monarchinitiative.org/disease/MONDO:0008032
OMIM:162000	GARD:0006806	6806	https://monarchinitiative.org/disease/MONDO:0008073
OMIM:163200	GARD:0010291	10291	https://monarchinitiative.org/disease/MONDO:0008097
OMIM:164180	GARD:0000106	106	https://monarchinitiative.org/disease/MONDO:0008108
OMIM:164220	GARD:0002930	2930	https://monarchinitiative.org/disease/MONDO:0008113
OMIM:170400	GARD:0006729	6729	https://monarchinitiative.org/disease/MONDO:0008223
OMIM:170500	GARD:0000195	195	https://monarchinitiative.org/disease/MONDO:0008224
OMIM:170600	GARD:0004009	4009	https://monarchinitiative.org/disease/MONDO:0008225
OMIM:171420	GARD:0004321	4321	https://monarchinitiative.org/disease/MONDO:0008235
OMIM:176410	GARD:0004475	4475	https://monarchinitiative.org/disease/MONDO:0008303
OMIM:176500	GARD:0008344	8344	https://monarchinitiative.org/disease/MONDO:0008306
OMIM:177000	GARD:0004527	4527	https://monarchinitiative.org/disease/MONDO:0008319
OMIM:180860	GARD:0004870	4870	https://monarchinitiative.org/disease/MONDO:0008394
OMIM:180900	GARD:0000212	212	https://monarchinitiative.org/disease/MONDO:0008396
OMIM:181270	GARD:0000159	159	https://monarchinitiative.org/disease/MONDO:0008404
OMIM:186550	GARD:0000966	966	https://monarchinitiative.org/disease/MONDO:0008520
OMIM:192315	GARD:0001217	1217	https://monarchinitiative.org/disease/MONDO:0008641
OMIM:192315	GARD:0010535	10535	https://monarchinitiative.org/disease/MONDO:0008641
OMIM:200900	GARD:0002988	2988	https://monarchinitiative.org/disease/MONDO:0008704
OMIM:208250	GARD:0000306	306	https://monarchinitiative.org/disease/MONDO:0008828
OMIM:209900	GARD:0000820	820	https://monarchinitiative.org/disease/MONDO:0008854
OMIM:211600	GARD:0009802	9802	https://monarchinitiative.org/disease/MONDO:0008892
OMIM:213980	GARD:0001210	1210	https://monarchinitiative.org/disease/MONDO:0008952
OMIM:214800	GARD:0000029	29	https://monarchinitiative.org/disease/MONDO:0008965
OMIM:215800	GARD:0004015	4015	https://monarchinitiative.org/disease/MONDO:0008990
OMIM:217080	GARD:0001463	1463	https://monarchinitiative.org/disease/MONDO:0009007
OMIM:217700	GARD:0006196	6196	https://monarchinitiative.org/disease/MONDO:0009019
OMIM:218650	GARD:0000817	817	https://monarchinitiative.org/disease/MONDO:0009041
OMIM:220110	GARD:0000048	48	https://monarchinitiative.org/disease/MONDO:0009068
OMIM:220500	GARD:0001685	1685	https://monarchinitiative.org/disease/MONDO:0009079
OMIM:225050	GARD:0002049	2049	https://monarchinitiative.org/disease/MONDO:0009150
OMIM:226670	GARD:0002137	2137	https://monarchinitiative.org/disease/MONDO:0009181
OMIM:227260	GARD:0000121	121	https://monarchinitiative.org/disease/MONDO:0009203
