ordo_id	ordo_name	omim_id	orphanet_link
166024	Multiple epiphyseal dysplasia, Al-Gazali type	607131	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166024
58	Alexander disease	203450	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=58
166032	Multiple epiphyseal dysplasia, with miniepiphyses	609325	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166032
61	Alpha-mannosidosis	248500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=61
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	609324	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166029
166038	Metaphyseal chondrodysplasia, Kaitila type	250230	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166038
93	Aspartylglucosaminuria	208400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=93
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	250410	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166035
585	Multiple sulfatase deficiency	272200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=585
118	Beta-mannosidosis	248510	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=118
166068	Pontocerebellar hypoplasia type 5	610204	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166068
141	Canavan disease	271900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=141
166063	Pontocerebellar hypoplasia type 4	225753	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166063
166078	Von Willebrand disease type 1	193400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166078
166073	Pontocerebellar hypoplasia type 6	611523	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166073
333	Farber disease	228000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=333
166081	Von Willebrand disease type 2	613554	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166081
349	Fucosidosis	230000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=349
365	Glycogen storage disease due to acid maltase deficiency	232300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=365
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	232400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=366
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	232600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=368
166096	Von Willebrand disease type 3	277480	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166096
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	184840	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166100
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	232800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=371
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	618855	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166105
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	232700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=369
447	Paroxysmal nocturnal hemoglobinuria	300818	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=447
166108	Intellectual disability, Birk-Barel type	612292	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166108
487	Krabbe disease	245200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=487
166260	Dentinogenesis imperfecta type 2	125490	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166260
166265	Dentinogenesis imperfecta type 3	125500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166265
583	Mucopolysaccharidosis type 6	253200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=583
166272	Odontochondrodysplasia	184260	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166272
576	Mucolipidosis type II	252500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=576
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	604922	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166277
166282	Familial sick sinus syndrome	608567	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166282
578	Mucolipidosis type IV	252650	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=578
796	Sandhoff disease	268800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=796
166409	Photosensitive epilepsy	132100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166409
461	Recessive X-linked ichthyosis	308100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=461
584	Mucopolysaccharidosis type 7	253220	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=584
166412	Hot water reflex epilepsy	613339	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166412
166433	Reading seizures	132300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166433
95	Friedreich ataxia	229300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=95
846	Alpha-thalassemia	604131	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=846
586	Cystic fibrosis	219700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=586
550	MELAS	540000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=550
480	Kearns-Sayre syndrome	530000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=480
551	MERRF	545000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=551
