"record_id"	"nord_link"	"incidence_link"	"gene_location"	"gene_name"	"sequence_viewer_link"	"ncbi_gene_link"	"gene_symbol"	"pattern_of_inheritance"
"10591-OMIM:170600"			"17q23.3"	"sodium voltage-gated channel alpha subunit 4"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000334"	"https://www.ncbi.nlm.nih.gov/gene/6329"	"SCN4A"	
"1101-OMIM:613347"			"13q13.1"	"BRCA2 DNA repair associated"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000059"	"https://www.ncbi.nlm.nih.gov/gene/675"	"BRCA2"	
"11445-OMIM:613101"		"https://medlineplus.gov/genetics/condition/familial-hemophagocytic-lymphohistiocytosis/#frequency"	"19p13.2"	"syntaxin binding protein 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006949"	"https://www.ncbi.nlm.nih.gov/gene/6813"	"STXBP2"	
"12362-OMIM:607341"	"https://rarediseases.info.nih.gov/diseases/10190/index"		"9q34"	"TSC complex subunit 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000368"	"https://www.ncbi.nlm.nih.gov/gene/7248"	"TSC1"	
"12363-OMIM:607341"	"https://rarediseases.info.nih.gov/diseases/10190/index"		"16p13.3"	"TSC complex subunit 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000548"	"https://www.ncbi.nlm.nih.gov/gene/7249"	"TSC2"	
"12765-OMIM:618806"			"17q11.2"	"forkhead box N1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001369369"	"https://www.ncbi.nlm.nih.gov/gene/8456"	"FOXN1"	
"1318-OMIM:611378"		"https://medlineplus.gov/genetics/condition/age-related-macular-degeneration/#frequency"	"19p13.3"	"complement C3"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000064"	"https://www.ncbi.nlm.nih.gov/gene/718"	"C3"	
"1331-OMIM:609536"	"https://rarediseases.info.nih.gov/diseases/2191/index"		"9q33.2"	"complement C5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001735"	"https://www.ncbi.nlm.nih.gov/gene/727"	"C5"	
"1339-OMIM:612446"			"5p13.1"	"complement C6"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000065"	"https://www.ncbi.nlm.nih.gov/gene/729"	"C6"	
"1346-OMIM:610102"			"5p13.1"	"complement C7"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000587"	"https://www.ncbi.nlm.nih.gov/gene/730"	"C7"	
"1358-OMIM:613825"			"5p13.1"	"complement C9"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001737"	"https://www.ncbi.nlm.nih.gov/gene/735"	"C9"	
"1358-OMIM:615591"		"https://medlineplus.gov/genetics/condition/age-related-macular-degeneration/#frequency"	"5p13.1"	"complement C9"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001737"	"https://www.ncbi.nlm.nih.gov/gene/735"	"C9"	
"1390-OMIM:611875"	"https://rarediseases.info.nih.gov/diseases/10361/index"		"12p13.33"	"calcium voltage-gated channel subunit alpha1 C"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000719"	"https://www.ncbi.nlm.nih.gov/gene/775"	"CACNA1C"	
"1390-OMIM:618447"			"12p13.33"	"calcium voltage-gated channel subunit alpha1 C"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000719"	"https://www.ncbi.nlm.nih.gov/gene/775"	"CACNA1C"	
"20473-OMIM:609054"		"https://medlineplus.gov/genetics/condition/fanconi-anemia/#frequency"	"17q23.2"	"BRCA1 interacting protein C-terminal helicase 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_032043"	"https://www.ncbi.nlm.nih.gov/gene/83990"	"BRIP1"	
